2024-05-10 09:15:21.506 [http-nio-3000-exec-7] WARN  o.s.web.servlet.PageNotFound - No endpoint GET /actuator.
2024-05-10 09:16:52.507 [http-nio-3000-exec-1] WARN  o.s.web.servlet.PageNotFound - No mapping for GET /context-path/v3/api-docs
2024-05-10 09:16:52.508 [http-nio-3000-exec-1] WARN  o.s.web.servlet.PageNotFound - No endpoint GET /context-path/v3/api-docs.
2024-05-10 09:19:16.941 [http-nio-3000-exec-9] WARN  o.s.web.servlet.PageNotFound - No mapping for GET /
2024-05-10 09:19:16.942 [http-nio-3000-exec-9] WARN  o.s.web.servlet.PageNotFound - No endpoint GET /.
2024-05-10 09:19:27.316 [http-nio-3000-exec-8] INFO  o.s.api.AbstractOpenApiResource - Init duration for springdoc-openapi is: 401 ms
2024-05-10 09:20:15.558 [http-nio-3000-exec-10] INFO  c.e.p.e.aop.HttpRequestAspect - Método: EscuelaController.findAll(), URL: http://localhost:3000/api/v1/escuelas/find/all, IP: 0:0:0:0:0:0:0:1, Parámetros: org.apache.catalina.util.ParameterMap@35747c7a
2024-05-10 09:20:15.653 [http-nio-3000-exec-10] INFO  c.e.p.e.aop.HttpRequestAspect - Método: EscuelaController.findAll(), Respuesta: <200 OK OK,[EscuelaResponseDto[id=1, nombre=ESS 4], EscuelaResponseDto[id=2, nombre=TEC 1]],[]>
2024-05-10 12:50:07.044 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2024-05-10 12:50:07.080 [main] INFO  c.e.p.e.EscuelasProjectApplicationTests - Starting EscuelasProjectApplicationTests using Java 17.0.9 with PID 10132 (started by Usuario in G:\Desktop\EscuelasProject\escuelas_project)
2024-05-10 12:50:07.081 [main] INFO  c.e.p.e.EscuelasProjectApplicationTests - No active profile set, falling back to 1 default profile: "default"
2024-05-10 12:50:08.400 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-05-10 12:50:08.507 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 95 ms. Found 5 JPA repository interfaces.
2024-05-10 12:50:09.441 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2024-05-10 12:50:09.552 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.4.4.Final
2024-05-10 12:50:09.610 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
